,Tweets,Etiquetas
2432,"A ver si os gusta la nueva cabecera.....a mi me encanta..Hoy en #losdesayunosdetve el ministro Soria. Hablamos de energía, paro, Fraga, etc.",NEU
2433,Padre constituyente hizo un gran esfuerzo por modernizar y moderar la sociedad española desde su posición liberal conservadora #graciasFraga,P+
2434,Adoro a Sofía Vergara......,P+
2435,Ya está aqui Bern Shcuster!!!;)) http://t.co/5PN9EpX5,P
2436,"“@JotDownSpain: Pedro J. Ramírez: ""Tengo la inmensa suerte de dedicarme a lo único para lo que sirvo"" http://t.co/xZce0OP2”",P+
2437,El debate sobre las luces y las sombras de Fraga es también un debate sobre la transición http://t.co/NUckn1GK,NONE
2438,"En la capilla ardiente de #Fraga. Han pasado Rajoy, Cospedal, Galardón, Cañete, Hernandez Mancha, Marcelino Oreja, Rubalcaba y Blanco...",NONE
2439,Todos recuerdan a #Fraga como hombre de estado que lo fue todo en la política española de los últimos 60 años,P
2440,"Hoy,22h,en@giraldatv,comienza la cuenta atrás:faltan 5 días xa el derbi#Betis-#SevillaFC.Hoy en La Liga,@zoidoalcalde con Guillén y Del Nido",NONE
2441,Ya ya ...RT @UnaMujerDe40: No debería llamarte la atención @mariviromero. La hipocresía existe...,N+
2442,y preguntamos en @13tv_AlDia : ¿le están convenciendo o le están decepcionando las primeras semanas d la 'Era Rajoy'? ¿por qué? @DHAM_13tv,NEU
2443,"Hoy dedicamos a @EduMadina la versión de Gwen Stefani del mítico ochentero ""It's my life"" de los Talk Talk http://t.co/60skzOIH",P
2444,"Vuelve Pons! Después de casi un mes desaparecido, @gonzalezpons estará esta noche en @linternacope",P
2445,"Sobre el libro de Camps: “La historia de Job que, tras perderlo todo, es repudiado por familiares y conciudadanos"" http://t.co/mGoDvedm",N
2446,“@JoanMoraOficial: @David_Busta tanto llueve? o.o”EN MADRID NO PARA...,NONE
2447,"“@karymonsse: @David_Busta david fechas para mexico existen?”DE MOMENTO NO, YA ME GUSTARIA... un BESAZO!!!",N
2448,"Rajoy ensalza el papel ""clave"" de Manuel Fraga en la Transición http://t.co/BpURYztl",NONE
2449,"El concurso del gran bulevar de Estepona, más cerca http://t.co/9RSaa1lz",P
2450,Un mensaje en Facebook avisó de que el barco pasaría cerca de la isla http://t.co/n0MDhtKf,NONE
2451,"Y retuiteo la mitad de los buenos que me llegan, por no agobiar. #notengoabuela",P
2452,El eterno refugio de Fraga en Perbes - ABC.es http://t.co/DkngArLd via @abc_es,NONE
2453,"“@LaraMcS:Sinceramente, la vi con mis amigas por ver algo. Salimos las cuatro temblando. Peliculón. Este me encanta!!!",P+
2454,“@NewEconomyForum: El vídeo del FE-Tribuna Euskadi con la presidenta del Parlamento vasco http://t.co/JAlq5OQ6,NONE
2455,"La frase del día: ""En la vida nada es para siempre"" Cuando a Rajoy le piden q garantice q no volverá a subir impuestos. No cierra la puerta",N
2456,"gracias! “@InmaBenegasi: @PilarGGranja   Gracias por hacernos entender la economia ,muy buen articulo,bs”",P+
2457,Muy clarificador !La insostenible casta parasitaria española http://t.co/Zf4hB5pD via @DiarioSigloXXI,N+
2458,"El exministro de Aznar, Pío Cabanillas, hijo del histórico Pío Cabanillas Gallas, sobre Fraga: Un gallego como tú. http://t.co/xDE4PxbG",NONE
2459,"Ya en Aerópolis, en Sevilla, a punto de empezar @hora25",NONE
2460,Sarko comete el error de pensar q pq un periodista pregunta por algo que afecta negativamente a su país es antipatriota. A Zp tb le pasaba..,N
2461,"En directo,los presidentes d @SevillaFC y @RBetisOficial con @zoidoalcalde.El derbi de #sevillahoy http://t.co/h52G1ni0",NONE
2462,"Desde luego RT @jaimegtaboada: Mañana Toma de Posesión de @GarciaMartin_MA a las 11. buen amigo, Gran Político y trabajador infatigable",P+
2463,Como va eso?;-),P
2464,Me encanta como arregla Julio Reyes...  Hacemos un buen equipo.. Gran acierto trabajar con el para el nuevo disco.,P+
2465,Buenas noches... Y que OS QUIEROOOOOOO!!! con toda mi alma;-),P+
2466,Y si..... ella también estuvo allí! http://t.co/yEGq2z4B,NONE
2467,El ultimo gran servicio por la concordia en Espana de don Manuel Fraga http://t.co/2K7GzXR1 vía @Semanaldigital,P
2468,los instrumentos se suben por las paredes... http://t.co/DfOWZBUM,NONE
2469,Buenos días. La sorprendente transmutación d Rajoy da un nuevo paso: apoya la Tasa financiera tras criticar a ZP cuando la propuso en la ONU,N
2470,Bdías. ¿Os sorprende oir a Rajoy pedir una tasa sobre transacciones? A mi mucho. ¿Os sorprende ver a Garzón en el banquillo? A mi nada.,N
2471,"Hoy el dia se presenta movido, y empieza con un juez en el banquillo por el 'caso Gurtel': justicia para todos?",NEU
2472,Me voy a la concentración en el Supremo. Por la memoria y la justicia para todas las víctimas . Contra la corrupción. Por Garzón.,P+
2473,"Libro por escribir: ""De te quiero un huevo, amiguito del alma, a eres un gilipollas"". Anatomía autonómica del pelotazo-pirotécnico español.",N
2474,"Comisión de Cultura, Deportes y Juventud (@ Archivo Municipal) http://t.co/SSXvGYtR",NONE
2475,"Garzón, hoy en el banquillo por las escuchas a abogados de Gürtel ¿Creéis que será condenado?",NEU
2476,Lo único que se dirime desde hoy en el TS es si un juez debe respetar la ley. Es decir si se puede delinquir al perseguir delitos.,NEU
2477,"Ja ""principios de ultraismo y solidaridad q presiden el sistema nacional de trasplantes # #MédulaÓsea",N+
2478,Desprecio a las leyes..El TSJA anula la integración del personal de Egmasa en la agencia del enchufismo http://t.co/c3X2Sq0w via @elmundoes,N
2479,"Los dos calcetines, en el techo,  me sacan la lengua! Voy a por una escoba.",NONE
2480,"Gracias, Nuna, tú siempre estás ahí “@NunaLM: @pedroj_ramirez Sin duda alguna es un premio bien merecido. Enhorabuena.”",P+
2481,Muy recomendable articulo de @Amartinbeaumont sobre Fraga en La Razón. ¿Una vuelta a su antigua casa o seguirá en La Gaceta?,P+
2482,Entre esta semana y la que viene seguro que anunciaremos la gira acústica de México. besos.,P+
2483,La red @ciudadesave nos va a enriquecer y complementar a todas las ciudades. Tenemos que buscar una oferta turística única.,P+
2484,"""AVExperience,la red de ciudades AVE generará riqueza y empleo""#sevillahoy @zoidoalcalde en Madrid. http://t.co/cY73nlfS",P+
2485,Hoy en el #Gabinete Garzón en el banquillo.“Gabilondo habla en su blog del juicio al magistrado en el Tribunal Supremo http://t.co/hSP0FJIG”,NONE
2486,"Henando, PP, ""estoy convencido de que al final de la legislatura todos los españoles pagarán menos impuestos"" #Congreso",P
2487,"Bueno pues a las 4 voy a conocer la #chatidieta , por si te apuntas @gemmadelcorral",P
2488,Buenas tardes amig@s. En casa descansando después del entrenamiento de la mañana. Ya queda menos. Vamos Real..!!,P+
2489,"@AlexdelaIglesia Pues es un poquito brasa, me gusto mucho mas #lachispadelavida",N
2490,Recomiendo este artículo de sentido común sobre el techo de gasto dl catedrático F De Carreras  en @LaVanguardia http://t.co/c2o6ewFP,P
2491,"El vascuence, un idioma que es parte de nuestra riqueza, que algunos aborrecen y otros patrimonializan. #Navarra",P
2492,"Periódicos que se ponen estupendos con sus nuevas páginas de ""tecnología"" y al día siguiente llaman ""servicio telefónico"" a una app móvil.",N
2493,"La buena colocación de letras del Tesoro demuestra: estaba descontada la rebaja de S&P, hay liquidez y el mercado vala las medidas de Rajoy",P+
2494,"Apertura hoy en @13tv_AlDia : ""La resurrección d la Zeja"" al rescate d #Garzón ! las disparatadas argumentaciones en favor del superjuez",N
2495,1 taza D cafe para empezar un buen dia de trabajo! 1 taza de cafe doble para un MUUUUUY buen dia de trabajo!,P+
2496,La nueva mesa de la comisión de cultura  http://t.co/zmJnSSad,P
2497,Gracias :-) RT @francarrillog: @ccifuentes Ayer me preguntaron por ti en este reportaje. Un saludo y ánimo con todo http://t.co/Akx8VzCb,P+
2498,IU pide al Gobierno la suspensión de los embargos de vivienda habitual que afecten a parados http://t.co/RXAlRJcl #deshaucios,P
2499,Por San Antón @pablo_roy nos presenta a Guarina http://t.co/lRjtOs3j,NONE
2500,Sólo el miedo a la derrota electoral  del @psoe puede explicar de los alcaldes del Parlamento Andaluz #elcambioandaluz,N+
2501,Curiosa imagen veremos mañana. El Ministro Cañete se reune con... María Teresa Fernández de la Vega.,NONE
2502,"En días como hoy, con reportajes de mascotas por San Antón, me acuerdo mucho de mi perra Menorca http://t.co/tfg5PTlJ",NONE
2503,Ya!,NONE
2504,"Suerte a los que habéis escrito!Nos vemos el jueves en el pase de ""Jack y su gemela"" (o el viernes en los cines! ;) http://t.co/h7veFDjz",P+
2505,No estoy casado “@manueldbonilla: se le puede llamar marqués consorte de Castelldosrius?”,NONE
2506,"En @La_SER @garciapage dice q se presentará ""si llega al convencimiento de q las 2 opciones se anulan y son malas para el partido"".",NEU
2507,He apoyado la petición Firma para que los maltratadores de animales vayan a prisión y tengan una condena - http://t.co/6AoX7LX1 @actuable,P
2508,#DiccionarioMujerEspañol - jamas me enamoraría de un compañero de trabajo - el tío de enfrente me hace la hora coca-cola y me vuelvo loca,NEU
2509,Con Adam Sandler (que al final no ha venido y me ha dejado solo para el estreno)#jackysugemela http://t.co/9TaK5sQd,NONE
2510,Mandame una foto d tu vista!,NONE
2511,Aprendiendo con los viejos maestros... http://t.co/9073tOTM,P
2512,@javiercasqueiro @manusanchezg vosotros no dejéis de intentarlo!,P
2513,"Un regalito.... Original, sencillo , creativo y precioso http://t.co/R6cFTt3A",P+
2514,"“@dolo_cruz: acabo de ver ""la chispa""FABULOSA!!!que gran esfuerzo el de @JoseMotatv La peli ha sido brillante!!!Eres un GRANDE!” gracias!!",P+
2515,RT @glaacosta: @paurubio es playa larga en Ixtapa Zihuatanejo!! http://t.co/JRwxDnkJ lov it...,NONE
2516,Buenos días a todos! Así amanece Madrid: http://t.co/IyyFH86O,NONE
2517,"Empieza la edición 32 de la Feria Iinternacional de Turismo, (FITUR).10.000m2 y un 4% mas de participantes. Asisten 162 países.",P
2518,"Excandidato republicano, Huntsman, abandona x la forma tóxica del discurso político basada en la división y ataques personales y negativos.",N
2519,Aaah! Que detrás del actual procesamiento a Garzón (escuchas) está el eventual sobreseimiento d parte del caso Gürtel? Aaah!,N
2520,"Existen ya CCAA ""intervenidas"" con la Ley actual: no se les deja endeudarse salvo q cumplan Plan d Ajuste aprobado con Gobierno central.",N
2521,"Recuerdo a Garzon ,bermejo,la fiscal,el poli de la judicial cazando gratis con Correa en el calabozo...",N
2522,"Hoy en la portada de @20m, una manera diferente de contar el Real Madrid-Barça de esta noche http://t.co/pOfooJIx ¿Te gusta?",P
2523,Buenos días,NONE
2524,SOS en el cuerno de África. Hambruna !,N+
2525,"RT @NicodeMig ""Ahora nuestras democracias tienen al enemigo dentro"": http://t.co/dQXzvOsJ vía @LaVanguardia",N
2526,Los abogados del turno de oficio abandonan por el recorte salarial http://t.co/NK5h5Y0L,N+
2527,Turno final para el consejero de la comunidad de Madrid...,NONE
2528,"Día completito, completito...grabación de OFFS,coreografías (10 por lo menos), ensayen escena y ensayo general....#yeswespainISDIFFERENT !",NONE
2529,"ALLÍ NOS VEMOS!!! Madrid,19 de enero: Acto de presentación del Aula de Liderazgo Público http://t.co/gMbBaXoY vía @masconsulting",NONE
2530,"Ya está en el blog la entrevista que me publicó ayer El Siglo ""Cambio y unidad"" @_Rubalcaba_ http://t.co/zCbErSdn #Rubalcaba38",NONE
2531,"En Cataluña prohíben a los médicos atender en castellano y mossos y funcionarios sacan banderas españolas""pq la provocación funciona"".Q país",N
2532,"Hoy a las 6, cita con RbCb en el Hotel Puerta Tierra de Cadiz. Anoche en Badajoz. Este es el resumen del acto http://t.co/1quoHGJp",NONE
2533,"Mas argumenta que el presidente dl ICS puede ser vice-pres d USP hospitales porque no cobra dl ICS.Cobra + que l rey en Innova Reus,300.000€",NONE
2534,Como? esto que es? Los sindicatos tienen en plena crisis 9.000 tarjetas de crédito para pagar sus gastos http://t.co/GaJVqgoH,N+
2535,Cuando el FBI reproduce una parte de mi rostro en el cartel del terrorista más buscado y le pone precio a su-mi  cabeza os echáis unas risas,N
2536,#Rajoy sale del mausoleo Real tras hacer la ofrenda floral ante la tumba dde Hassan II y Mohamed V http://t.co/CtCxCHcU,P
2537,Me encantan estos ratos mañaneros en los que paro a tomar un te y leer el periodico tranquilamente =),P+
2538,"Pregunta: para darse d baja d un servicio d telefonía, x ley es obligatorio q te la tramiten d la misma manera q el alta? Cc @movistarpro_es",N
2539,En el stand de @Huelvaturismo: un oferta de luz y sabor.,P
2540,"Rossy de Palma y Alaska, en busca de la polémica http://t.co/Fq6dVNOv",N
2541,Montoro quiere q los malos gestores públicos vayan a la cárcel ¿Q delito se les imputará? ¿Malversación? ¿Falsedad? ¿O serán sólo palabras?,P
2542,Pero no luchaban por la cultura libre? 10 mill de euros! “@amanda_mars: Los fundadores de SeriesYonkis venden el portal http://t.co/TRrRdXq1,N+
2543,"A las 3 en @A3noticias, el gobierno exigirá “responsabilidades penales” a los gobernantes que gasten más de lo presupuestado",P
2544,"#Extremadura La Fiscalía también pidió parar las obras, leído en El Periódico Extremadura http://t.co/5LFXMI5O",NONE
2545,Continúa el PP  pasando factura: primero con la cifra de déficit y hoy con un juicio simbólico a los políticos. JUICIO REAL  A  CORRUPTOS.,N+
2546,"Feijóo: «Cuando gané la Xunta, lo único que me pidió Fraga era que me casase» - ABC.es http://t.co/dTRlVLVa via @abc_es",NONE
2547,The Times reconoce que no puede ser ajeno a la edición social http://t.co/LbXDqrlu para llegar al público inteligente http://t.co/2gAIu1Jy,P
2548,"Hay más declaraciones de renta de diputados. En la remesa de hoy: Jesús Caicedo: alcalde, empresario y diputado http://t.co/U0smXKQE",NONE
2549,En breve visito el stand de #CLM en FITUR donde nuestra región está representada,NONE
2550,"Rajoy dice que se abre ""una nueva etapa reforzando las relaciones de amistad y de buena vecindad"" con Marruecos.",P+
2551,"Hagamos entre todos #mássocialismo, más igualdad, más participación.",P+
2552,"Emotivo el email que me acaba de llegar desde Facebook: ""Tus amigos quieren que vuelvas"". #esoyamelodiranellos",P
2553,"Me acabo de enterar de que el abogado de #Garzón es el que defendió a Campanario, y luego dicen de Peláez!!",NONE
2554,"En relación a Marruecos nada nuevo bajo el sol, aunque con viento de poniente. Del Sáhara ni palabra. Más de lo mismo.",NONE
2555,"""un partido de mayorías, intergeneracional: jóvenes, clave, sí...pero estamos perdiendo el apoyo de los mayores"" @_Rubalcaba #massocialismo",NEU
2556,Dos horas de clase sobre proliferation. Cason practico Iran  Alumnos de mas de 15 países 4 continentes. Muy interesante para mi. @ESADEgeo,P+
2557,"Alfredo todo mi apoyo. “@_Rubalcaba_Quiero1@PSOE de mayorías, defendiendo a los más desfavorecidos y a la clase media; de jóvenes y mayores",P+
2558,Acabo de verla en este instante en el Real “@rascal948: @pedroj_ una sugerencia Una entrevista EM a Elena Salgado. Donde esta???”,NONE
2559,Buena intervención d @jordi_canyas en #Parlament defendiendo nuestra enmienda a l subida d impuestos a clases medias d CIU-PP #pepevergencia,P
2560,"Ya en la #vespertina de #ePeriódico, artículo de Antoni Gutiérrez Rubí (@antonigr) sobre la huelga de Internet.www.e-periodico.es",NONE
2561,"RT @ostwitting: el pacto encubierto entre CiU-PP en Mataro ha sido bochornoso,PP despechado publica pacto en diario local #politica #mataro",N+
2562,Que alguien me cuente qué pasa en el Bernabéu!!! Que no puedo verlo!!!,N
2563,Era fuera de juego!!!! Yo creo q este arbitro es triguillo ...,N
2564,Aquí esta ya listo el yoghurt con mijititillas casero ;-) @mariarojo82 #chatidieta,P
2565,Que he llegado a tiempo para verla ;-))) (watching Downton Abbey) http://t.co/NbbSq00t,P+
2566,Por qué? Por qué? Por qué? Por qué? #Pepebotadeoro,NONE
2567,"Esta noche en @59_segundos, interesante análisis de @jitorreblanca sobre Europa y debate sobre gasto público, Garzón, Fraga...",NEU
2568,Bueno.... Muy rica la carne,P+
2569,Long day!Photo sessions! Dia largo. Sesiones de fotos. http://t.co/lwgHwc6H,NEU
2570,Primer paso de la eliminatoria. Faltan 90 min para conseguir el objetivo con nuestra gente. Ahora a descansar y a... http://t.co/2ZI3E3UQ,P
2571,"El que firma es abogado y exdiputado del PP: Cacería judicial, por Jorge Trías Sagnier http://t.co/XL4ztVLV",NONE
2572,"Gran partido, grande hermanoooo!!!!! http://t.co/0eY5v8Di",P+
2573,"""Ni a patadas"", nuestra conclusión acerca de la enésima victoria #FCBarcelona en el Bernabéu. http://t.co/PxXGAQxx#portadaEPC",NONE
2574,Una reunión te arregla un día... Pero sólo por un rato.,P
2575,"Puede ser un héroe tanto el que triunfa como el que sucumbe, pero jamás el que abandona el combate. Tomas Carlyle",NEU
2576,"Hoy promocionando ""Jack y su gemela"" he tenido un día poco tuitero... http://t.co/Q7SJN15Y",NONE
2577,"Dos nominaciones a los Goya, una dirección sencillamente magistral#lachispadelavida http://t.co/A6b7LQgX",P+
2578,Tecleando tecleando... Buenos días....,NONE
2579,Dentro de muy poco en @ABCPuntoRadio con @melchormiralles (lo llevo).,NONE
2580,Portada El País http://t.co/fopE5fCM ...,NONE
2581,Portada La Razón http://t.co/wTaUVPrN ...,NONE
2582,Portada La Gaceta http://t.co/MNVQmXfd ...,NONE
2583,Montoro propone responsabilidad penal a futuro y por incumplir  déficit. Es decir no comprar gasas en el hospital so pena de cárcel.,NEU
2584,La radio pública cumple 75 años. Enhorabuena a toda la gente que la hace posible. Es más necesaria que nunca. #75añosRNE @EDCHrne,P+
2585,Qué susto tiene la izquierda con la posibilidad de ir a la cárcel si malgastan y despilfarran el dinero de nuestros impuestos!,N
2586,Corrijo....89 millones de toneladas de comida es lo que tiramos en Europa. Perdón.,N+
2587,"#BastaYa : Un hombre mata a puñaladas a su ex mujer en Jaén y se entrega a la Guardia Civil"" http://t.co/hoKyVOyG via @elmundoes",N+
2588,@javiersolana expresa su apoyo a @_Rubalcaba_ para ser el próximo líder del PSOE  @el_pais http://t.co/94h0exrR,P
2589,diariosur.es: Una peluquería 2.0 http://t.co/GCmVcC6l,NONE
2590,En el blog: El prestigio valenciano http://t.co/VfyPWfP6,NONE
2591,El convenio de la Generalitat con Urdangarin se firmó a propuesta de Camps ¿Debería ser imputado como lo fue Matas?,NEU
2592,"Castellón: aeropuertos sin aviones, institutos sin calefacción y alumnos represaliados. Tremendo todo http://t.co/ivZsa0ok",N+
2593,El Tesoro vuelve a superar sus objetivos en la última subasta http://t.co/3N4PiEUn,P+
2594,Interior sigue renovando las estructuras policiales heredadas de Rubalcaba. Ahora toca las jefaturas superiores.,P
2595,"Más sobre la multiplicación por 10 del sarampión y la moda de no vacunar. Gracias a @lamamapediatra http://t.co/46sL7nQd""",NEU
2596,Organizaciones de Derechos Humanos piden al TS que no obvie el derecho internacional en el #juicioGarzón por la memoria http://t.co/7wCFa5kS,NONE
2597,La Guardia de Finanzas italiana rebaja la calificación de Standard&Poors. http://t.co/lQrRIBwK,NEU
2598,"Para los q no entienden pq corro, este maravilloso video q me pasado @joseareina: ESOS LOCOS QUE CORREN: http://t.co/HDlX0FNK vía @youtube",NEU
2599,"Me apetece mucho el viaje de mañana a Marbella y la firma de #ElPrimerNaufragio el sábado a las 12 en ECI de Málaga. Os espero, tuiteros.",P
2600,Que tipo de empleo se ha creado en US ultimos años ? Lecciones a sacar http://t.co/9P9Q4El5,N
2601,"A punto d empezar en @mananascuatro con @mrtfernandez @Vallvey @jmahrens y Jorge Verstrynge... Garzón, víctima o verdugo? Visto pr sentencia",N
2602,Lo de las mamás famosas y las marcas infantiles es total.... Alba Carrillo hace su primera aparición publicitaria http://t.co/LBdbUEH8,P+
2603,"La Generalitat les debe a ls aytos catalanes 753 según el propio gobierno.“Catalunya ens roba”? No,simplemente deudas entre administraciones",N+
2604,Es d una gran irresponsabilidad q @PepeGrinan esconda la bolita de las deudas de la Junta en #andalucia dando esas ordenes #elcambioandaluz,N
2605,"A las 3 en @A3noticias, la policía de Italia registra Standard & Pours y la acusa de manipular el mercado",N
2606,Gracias por los RT del tuit de la GC. La niña esta localizada ya.,P+
2607,Ahí chicas! Ahí están mis twiteros @BelindaWB @sarandonga55 http://t.co/yWuDVRqx,NONE
2608,Está la cosita muy mala. Wolverine no es lo que era. http://t.co/WAlMsg0l,N+
2609,Visa se muda a los móviles con Android para asegurar los pagos con NFC http://t.co/LVjFbIUt,P+
2610,"Tierno defendía que el progreso se basa en los pequeños gestos, más que en las grandes obras. http://t.co/YFkZI2dR",P
2611,No tengo palabras... Angelina Jolie y Brad Pitt podrían estar esperando su séptimo hijo http://t.co/9Gen5O6G,NONE
2612,Vota circo. Sin palabras. Impresionante. http://t.co/CB2VpgNH,P+
2613,"Apunten RT @cdperiodismo: PicYou, la competencia de Instagram crece a ritmo acelerado http://t.co/rpeWiLlQ",NEU
2614,Seguimos trabajando para #elcambioandaluz (@ Partido Popular de Málaga) http://t.co/ZBah8gBk,P+
2615,"No tenemos nada que ocultar, si apoyan una comisión de investigación sobre la crisis y sus responsables seremos los primeros. Un paripé no.",P
2616,Creo que he metido la pata con el RT de @vargasllosam. Parece un fake. Mis disculpas.,NEU
2617,"dejo una pregunta q define perfectamente el fútbol,si el Madrid hubiera ganado el partido ayer alguien hubiera hablado d la alineación d mou",N
2618,"#Garzón: ""Será la última vez que comparezca ante un juzgado español"". Traducción: recurriré a Estrasburgo. @TelediarioInter 20:30",NONE
2619,"¿Qué pasará con Garzón?, ¿culpable o inocente? Lo debatimos en @TelediarioInter 20:30",NEU
2620,@iescolar @laventana Si abogados de acusados en el caso Marta del Castillo autorizaron escuchas no hay equivalencia con Garzón,N+
2621,"Me habláis del derecho de defensa, de los ricos. El de los pobres, como ellos, no tiene donde caerse muerto. El turno de oficio abandonado,",N
2622,En el TEA de Tenerife http://t.co/iydjYSGg,NONE
2623,Me parece bochornoso hacer RTs de comentarios positivos...(pero es tan fácil caer en la tentación je je),NEU
2624,En directo http://t.co/w36xzov4,NONE
2625,Bienvenido @VargasLlosaM Celebro encontrarte aquí también. Besos.,P+
2626,Nunca te acostarás sin tener un desengaño más.,N
2627,Aquí está la entrevista de esta mañana en @ElCirculoTM #TeleMadrid http://t.co/VjLL3qSL,NONE
2628,Muy buenas noches followercetes!(#SiCierranTwitter por ultima vez) http://t.co/B7nQXd7W,NEU
2629,Pues en eso estoy RT @DnLTheProvider: @AlejandroSanz Cuando sacas un nuevo ALbum.. la fanaticada esta esperando... #Kieromusicaa,P
2630,Ayer tuve una reunión con el Gremio de Joyeros. Vamos a hacer un esfuerzo para proteger a un sector que está... http://t.co/ZGuEusOw,P
2631,Persiste!,P
2632,"Fijaos en la foto del angelito, conocido como Kim Schmitz, que se forraba con las descargas ilegales de Magaupload. http://t.co/MeONc3A7",N+
2633,"Wikipedia lanza aplicación gratuita para Android, para consultar contenidos de Wikipedia, compartir artículos...",P
2634,"Que los abogados acusen a Garzón de aplicar la' Razón de Estado', y que abra con ello El Mundo es para reírse, si no fuera un escándalo.",N
2635,Por si no os queréis  enterar ya he lamentado la muerte por huelga d hambre del disidente cubano y he defendido el respeto de todos los DDHH,NEU
2636,Si! #elcambioandaluz  RT @virivero43: @mariviromero Buenos días! Me llega olor a cambio en Andalucía!,NONE
2637,Buenas. Rumbo al programa de @melchormiralles.,P+
2638,Buenos días a todos desde San Sebastián!,NONE
2639,Desde luego “@RecioManolo: Pasado contrapasado no conllevabuen futuro” por eso es necesario #elcambioandaluz,N
2640,"¿Quien aparece como mayor ""villano"" a ojos de la opinión publica, Pepe (R.Madrid) o el comandante Schettino?",N
2641,"Buenaaaaas! Mi #FF de hoy es para #Anonymous , bueno y para la camarera q me va a poner el desayuno Haaaaaabreeeeeee!!!",P
2642,En la Ciudad Deportiva trabajando un poco y hablando con @fontas24 y @Guaje7Villa Vamos!!!!,P
2643,Las palabras valen ya menos que los pisos. Recortar gastos es ahora racionalizar.,N
2644,En el blog: Cinismo a bordo http://t.co/nXnexNcp,N
2645,+ socialismo http://t.co/PS6dX3rf via @el_plural,NONE
2646,Stand de Aragón en #FITUR http://t.co/p3xbNoY4,NONE
2647,"#FF @ArturoGomezQuij, por demostrar en su penúltimo tweet que un prejuicio es una oportunidad de actualización.",P
2648,#FF RT @SantyUrbaneja: @MayteOtero @Andreita_ae @virginiacanadas @Milamorr @melina_cm @encarnialvarez @DoriLuque  me sumo #FF para todas!!!,P
2649,#Andalucía recibe el premio al mejor stand de CCAA de #Fitur. Prueba de que nuestro sector turístico sigue al alza. Enhorabuena.,P+
2650,Me parece lógico que cierren Megaupload. De tanto en tanto Estados Unidos necesita perder una guerra.,NEU
2651,"Soraya habla de ""simplificación"" de la diversidad de contratos, pero no de ""contrato único"" como decía De Guindos en WSJ",NONE
2652,"Soraya corrige a Montoro: se cumplirá el 4,4%",NEU
2653,El Gobierno de @marianorajoy concede el indulto al preso Miguel Montes por las condenas q tenia pendientes,NONE
2654,El Gobierno reclama a Cuba la liberacion de todos los presos politicos tras la muerte de uno de ellos q estaba en huelga de hambre,N
2655,gran respeto por Alberto y por lo quje diceyLos momentos que vivimos Alberto Oliarthttp://www.elpais.com/articulo/opinion/,P+
2656,"Puedes cambiar a la 1 o la 2 “@IVANGARCIA__: @pedroj_ramirez ¿ y si elijes la opcion 3, y no quedan ipads que pasa?”",NONE
2657,"Carlos Fabra acaba de lograr la nueva plusmarca de fianza a político: 4,2 millones. Le quita el récord a Jaume Matas http://t.co/VSGOtwtX",N
2658,Un CEMA integrado en la CMT. Buen criterio RT @desdelamoncloa El Gobierno simplificará los organismos reguladores http://t.co/mkpcjltk,P+
2659,"¡“@135sara: HAN ENCONTRADO UN TREN DEL 11M, ESCONDIDO POR FOMENTO.¡ TOMA YA !¿Y LOS Q FALTAN ? QUE LOS SAQUEN TODOS, via interec.”",N+
2660,"De la Torre, contento porque Málaga se ha consolidado como destino urbano importante http://t.co/7VpGKYsy",P+
2661,En la misa por mi padre (@ Iglesia de San Juan) http://t.co/syoAWN7z,NONE
2662,Besos RT @lakiki_21: @AlejandroSanz jamas me dara RT :(,NEU
2663,"Muchas gracias Ana. Un aBrazo RT @AnaReboiras: @AlejandroSanz buenísimo, donde yo trabajo ya han (cont) http://t.co/fjUQ79bE",P+
2664,Si. Señor.. Ahi vamos RT @jerry_bob31: @AlejandroSanz Vamos por el Nuevo Disco!!,P
2665,El PP cree que el Gobierno de Barreda debe ser sancionado con caracter retroactivo http://t.co/RSzuXVjd vía @eldigitalcastillalamancha,N
2666,"Pues la mejor es la 1 :)) “@espidifen600mg: @pedroj_ramirez elijo la 2..no, la 3! NO! la caja!! elijo la caja!!!”",P+
2667,"No mujer, ni mucho menos, pero yo estaba alli. Creeme un poco. ;) RT @PamelaSimo: Palabra d Dios? (cont) http://t.co/0Z3F9O7U",P
2668,Boda en Yucatan? Suena de maravilla. Felicidades.. Por todo. RT @Sanz_Yucatan: Oye @AlejandroSanz (cont) http://t.co/yyOsa4Wq,P+
2669,Tenemos imágenes de cómo los batasunos utilizan la tamborrada para presos etarras. @TelediarioInter 20:30,NEU
2670,Alemania pretende crear un fondo de estímulo. ¿Va en serio? Preguntamos a expertos. @TelediarioInter 20:30,P
2671,¿Donde está Urdangarín? Toda Barcelona le busca. Os lo contamos en @TelediarioInter 20:30,N
2672,Hablamos de cine con @JoseIgnacioWert en @TDtarde @13television,NONE
2673,"RT @juantdelgado:""Los campeones del ajuste perpetuo"" frenan a quienes ya están preparados para crecer @sevillajordi. El domingo en Mercados.",N
2674,Una lástima no poder estar el 4/2 en la de despedida de Palermo. Justo homenaje para alguien q se merece todo http://t.co/0DMPmEk4,P
2675,@Enric_Hernandez Y ese déficit nunca ha estado oculto...,N
2676,"Si tambien tengo. Voy a mandar foto RT @bbreso: @AlejandroSanz @sanzfusion ese es un buen piano, (cont) http://t.co/9BM2oHfE",P
